,Brand,Company name,Country,Continent
277,Reo,REO Motor Car Company,United States,North America
278,Republic,Republic Motor Truck Company,United States,North America
279,Riker,Riker Electric Motor Company,United States,North America
280,Robur,Robur (truck),Germany,Europe
281,Roman,Roman,Romania,Europe
282,Rotinoff,Rotinoff Motors,UK,Europe
283,Rowe-Hillmaster,Rowe-Hillmaster,UK,Europe
284,Rutland,Rutland,UK,Europe
285,SAMIL,SAMIL,South Africa,Africa
286,SD,SD,UK,Europe
287,SNVI,SNVI,Algeria,Africa
288,Saurer,Saurer,Switzerland,Europe
289,Saviem,Saviem,France,Europe
290,Scammell,Scammell,UK,Europe
291,Scania,Scania AB,Australia,Oceania
292,Scania,Scania AB,Sweden,Europe
293,Scot,Scot,Canada,North America
294,Seddon,Seddon Atkinson,UK,Europe
295,Seddon Atkinson,Seddon Atkinson,UK,Europe
296,Sentinel,Sentinel Waggon Works,UK,Europe
297,Shaanxi Automobile Group,Shaanxi Automobile Group,China,Asia
298,Shacman,Shacman,China,Asia
299,Shefflex,Shefflex,UK,Europe
300,Sides,Sides (company),France,Europe
301,Simca,Simca,France,Europe
302,Sinotruk,China National Heavy Duty Truck Group,China,Asia
303,Sisu Auto,Sisu Auto,Finland,Europe
304,Sitom,Sitom,China,Asia
305,Sitrak,Sitrak,China,Asia
306,Somua,Somua,France,Europe
307,Spangler,Spangler (automobile company),United States,North America
308,Star,FCS Star,Poland,Europe
309,Star,Star Engineering,UK,Europe
310,Sterling Trucks,Sterling Trucks,,North America
311,Stewart,Stewart (automobile),United States,North America
312,Steyr,Steyr-Daimler-Puch,Austria,Europe
313,Straker-Squire,Straker-Squire,UK,Europe
314,Straussler,Straussler,UK,Europe
315,Studebaker,Studebaker,United States,North America
316,Swaraj Mazda,Swaraj Mazda,India,Asia
317,TAM,Tovarna avtomobilov Maribor,Slovenia,Europe
318,TVM,Tovarna Vozil Maribor,Slovenia,Europe
319,TVS,TVS Group,India,Asia
320,TVS Motar France,TVS Motor Company,France,Europe
321,TVW,Transport Vehicles,UK,Europe
322,Tadano Faun GmbH,Tadano Faun GmbH,Germany,Europe
323,Tata Daewoo,Tata Daewoo,South Korea,Asia
324,Tata Motor UK,Tata Group,United Kingdom,Europe
325,Tata Motors,Tata Motors,India,Asia
326,Tata Motors Africa,Tata Motors,Kenya,Africa
327,Tata Motors Japan,Tata Group,"Japan - subsidiary of Tata Motors, India",Asia
328,Tatra,Tatra cars,Czech Republic,Europe
329,Temax,Temax,Greece,Europe
330,Terberg,Terberg,Netherlands,Europe
331,Tesla Motors,Tesla Motors,,North America
332,Thornycroft,Thornycroft,UK,Europe
333,Tilling Stevens,Tilling Stevens,UK,Europe
334,Titan,Titan,,Europe
335,Tonar,Tonar,,Europe
336,Traffic,Traffic Motor Corporation,United States,North America
337,UD Trucks,UD Trucks,Southern Africa,Africa
338,UD Trucks,UD Trucks,Australia,Oceania
339,UD Trucks,UD Trucks,Japan,Asia
340,UD Trucks,UD Trucks,,North America
341,URO,Uro,Spain,Europe
342,USG-Pitt,USG-Pitt,UK,Europe
343,Unic,Unic,France,Europe
344,Unimog,Unimog,Germany,Europe
345,Union,Union Cartage Company,UK,Europe
346,Unipower,Universal Power Drives,UK,Europe
347,Ural,Ural Automotive Plant,Russia,Europe
348,Uri,Uri International Vehicle & Equipment Marketing,Namibia,Africa
349,Vanaja,Vanajan Autotehdas,Finland,Europe
350,Vehicle Factory Jabalpur,Vehicle Factory Jabalpur,India,Asia
351,Verheul,Verheul,Netherlands,Europe
352,Volkswagen Caminhões e Ônibus,Volkswagen Caminhões e Ônibus,Brazil,South America
353,Volkswagen Commercial Vehicles,Volkswagen Commercial Vehicles,Germany,Europe
354,Volvo Trucks,Volvo Trucks,different models for U.S. market,North America
355,Volvo Trucks,Volvo Trucks,Australia,Oceania
356,Volvo Trucks,Volvo Trucks,Sweden,Europe
357,Volvo Trucks,Volvo Trucks,South Africa,Africa
358,Vomag,Vomag,Germany,Europe
359,Vulcan,Vulcan,UK,Europe
360,Walter,Walter (automobile company),United States,North America
361,Western Star Trucks,Western Star Trucks,Australia,Oceania
362,Western Star Trucks,Western Star Trucks,,North America
363,White,White Motor Company,,North America
364,Willeme,Willeme,France,Europe
365,XCMG,XCMG,China,Asia
366,Yarovit,Yarovit,,Europe
367,Yellow River,Yellow River,China,Asia
368,Yorkshire,Yorkshire,UK,Europe
369,Yuejin,Yuejin,China,Asia
370,Zastava Trucks,Zastava Trucks,Serbia,Europe
371,Zeber Motor,Zeber Motor,India,Asia
372,Zeligson,Zeligson,United States,North America
373,ZiL,ZiL,Russia,Europe
374,Ziyang Nanjun,Chun Nan Jun,China,Asia
375,Zwicky,Zwicky,,Europe
376,ÖAF,ÖAF,Austria,Europe
377,Škoda,Škoda Auto,Czech Republic,Europe
